SID,ISO_TIME,LAT,LON,BASIN,SUBBASIN
1890264N24131,1890-09-20 18:00:00,23.9618,130.583,WP,MM
1890271N15125,1890-09-27 18:00:00,14.6556,125.036,WP,MM
1890275N21133,1890-10-02 06:00:00,21.425,132.401,WP,MM
1890284N14128,1890-10-10 18:00:00,15.1057,126.813,WP,MM
1890289N12124,1890-10-16 06:00:00,12.4459,123.767,WP,MM
1890303N16148,1890-10-29 18:00:00,16.517,147.235,WP,MM
1890314N09133,1890-11-09 18:00:00,10.1582,131.43,WP,MM
1891130N06113,1891-05-09 18:00:00,7.46096,112.977,WP,MM
1891180N11114,1891-06-28 18:00:00,11.1438,113.939,WP,MM
1891197N14129,1891-07-15 18:00:00,14.442,128.224,WP,MM
1891207N15123,1891-07-25 18:00:00,14.8787,122.313,WP,MM
1891213N22128,1891-07-31 18:00:00,22.836,127.925,WP,MM
1891233N19126,1891-08-20 18:00:00,19.5793,125.8,WP,MM
1891236N19122,1891-08-23 18:00:00,19.3035,122.199,WP,MM
1891243N19132,1891-08-30 18:00:00,19.9292,130.391,WP,MM
1891248N12130,1891-09-04 18:00:00,13.5017,129.324,WP,MM
1891254N19119,1891-09-10 18:00:00,18.8488,117.836,WP,MM
1891255N20135,1891-09-11 18:00:00,20.8126,134.008,WP,MM
1891259N12121,1891-09-15 18:00:00,12.5068,119.852,WP,MM
1891263N17124,1891-09-20 06:00:00,17.2994,123.556,WP,MM
1891272N26131,1891-09-28 18:00:00,26.2667,131.233,WP,MM
1891278N17148,1891-10-04 18:00:00,17.8809,146.987,WP,MM
1891316N12127,1891-11-11 18:00:00,12.2603,127.107,WP,MM
1891320N13126,1891-11-15 18:00:00,13.3017,124.548,WP,MM
1891321N13142,1891-11-16 18:00:00,12.6063,141.76,WP,MM
1892158N16114,1892-06-06 06:00:00,16.429,113.798,WP,MM
1892177N12121,1892-06-24 18:00:00,12.1424,121.014,WP,MM
1892182N20112,1892-06-29 18:00:00,20.3668,112.083,WP,MM
1892198N18139,1892-07-15 18:00:00,17.5953,138.431,WP,MM
1892199N16114,1892-07-17 06:00:00,16.2254,113.905,WP,MM
1892206N20113,1892-07-23 18:00:00,19.8488,113.327,WP,MM
1892212N18126,1892-07-29 18:00:00,17.8003,125.719,WP,MM
1892224N29127,1892-08-10 18:00:00,28.5171,126.35,WP,MM
1892228N20126,1892-08-15 06:00:00,19.7746,126.053,WP,MM
1892244N20112,1892-08-31 06:00:00,20.0957,111.668,WP,MM
1892246N24131,1892-09-01 18:00:00,24.5354,130.88,WP,MM
1892246N25133,1892-09-01 18:00:00,24.53,132.559,WP,MM
1892250N23122,1892-09-06 06:00:00,22.7871,122.229,WP,MM
1892261N22121,1892-09-17 06:00:00,21.9508,120.968,WP,MM
1892268N17117,1892-09-23 18:00:00,16.7056,116.796,WP,MM
1892281N14143,1892-10-06 18:00:00,13.9237,140.22,WP,MM
1892298N14144,1892-10-23 18:00:00,14.1296,141.56,WP,MM
1892317N05113,1892-11-11 18:00:00,6.37615,112.897,WP,MM
1892324N13129,1892-11-19 06:00:00,13.2704,128.701,WP,MM
1892342N05127,1892-12-06 18:00:00,6.08662,124.117,WP,MM
1893128N11121,1893-05-07 18:00:00,11.2128,121.128,WP,MM
1893133N09138,1893-05-12 18:00:00,10.0735,135.347,WP,MM
1893173N15114,1893-06-21 18:00:00,14.6856,113.523,WP,MM
1893191N19127,1893-07-09 18:00:00,19.0705,126.902,WP,MM
1893196N15129,1893-07-14 18:00:00,15.0078,128.157,WP,MM
1893208N19127,1893-07-26 18:00:00,19.0023,127.355,WP,MM
1893213N18128,1893-07-31 18:00:00,18.7322,126.904,WP,MM
1893221N19126,1893-08-08 18:00:00,19.0853,125.407,WP,MM
1893225N18130,1893-08-12 18:00:00,18.5355,130.217,WP,MM
1893240N15113,1893-08-28 06:00:00,15.1981,113.123,WP,MM
1893248N18125,1893-09-04 18:00:00,17.7302,124.947,WP,MM
1893254N20125,1893-09-10 18:00:00,19.8309,123.919,WP,MM
1893262N17128,1893-09-18 18:00:00,18.1874,126.488,WP,MM
1893265N17115,1893-09-21 18:00:00,17.0104,115.305,WP,MM
1893268N14128,1893-09-24 18:00:00,14.3568,127.723,WP,MM
1893273N15128,1893-09-29 18:00:00,15.2131,126.609,WP,MM
1893274N10148,1893-09-30 18:00:00,10.6256,145.945,WP,MM
1893284N18131,1893-10-10 18:00:00,18.1655,130.649,WP,MM
1893315N11124,1893-11-10 18:00:00,10.5181,123.737,WP,MM
1893323N08137,1893-11-18 18:00:00,8.33248,137.123,WP,MM
1894151N16112,1894-05-30 18:00:00,17.0422,111.987,WP,MM
1894175N18114,1894-06-23 18:00:00,18.4779,113.686,WP,MM
1894178N18126,1894-06-26 18:00:00,18.2279,125.614,WP,MM
1894181N16112,1894-06-29 18:00:00,16.9243,111.907,WP,MM
1894202N24131,1894-07-20 18:00:00,24.2943,130.447,WP,MM
1894205N19114,1894-07-24 06:00:00,18.7911,113.442,WP,MM
1894210N22135,1894-07-28 18:00:00,21.6765,134.702,WP,MM
1894238N17114,1894-08-25 18:00:00,16.6448,113.6,WP,MM
1894250N16117,1894-09-06 18:00:00,16.1467,117.271,WP,MM
1894259N09130,1894-09-15 18:00:00,10.3069,128.768,WP,MM
1894265N17127,1894-09-21 18:00:00,16.9657,126.3,WP,MM
1894270N15123,1894-09-27 06:00:00,15.1108,122.296,WP,MM
1894275N14134,1894-10-01 18:00:00,14.0476,131.565,WP,MM
1894318N15139,1894-11-13 18:00:00,14.6791,138.36,WP,MM
